,tweet_id,text,rating_numerator,rating_denominator,name,url,source,stage,Date,Year,Month,Day_of_Week,Time,Hour,favorite_count,retweet_count
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,https://t.co/MgUWQ76dJU,Twitter for iPhone,unidentified,2017-08-01,2017,August,Tuesday,16:23:56,16,39329,8785
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,https://t.co/aQFSeaCu9L,Twitter for iPhone,unidentified,2017-08-01,2017,August,Tuesday,00:17:27,0,33671,6438
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,https://t.co/r0YlrsGCgy,Twitter for iPhone,unidentified,2017-07-31,2017,July,Monday,00:18:03,0,25362,4270
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,https://t.co/tD36da7qLQ,Twitter for iPhone,unidentified,2017-07-30,2017,July,Sunday,15:58:51,15,42708,8872
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,https://t.co/0g0KMIVXZ3,Twitter for iPhone,unidentified,2017-07-29,2017,July,Saturday,16:00:24,16,40846,9652
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,None,https://t.co/xx5cilW0Dd,Twitter for iPhone,unidentified,2017-07-29,2017,July,Saturday,00:08:17,0,20479,3215
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below
",13,10,Jax,https://t.co/MV01Q820LT,Twitter for iPhone,unidentified,2017-07-28,2017,July,Friday,16:27:12,16,12022,2128
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,None,https://t.co/hrcFOGi12V,Twitter for iPhone,unidentified,2017-07-28,2017,July,Friday,00:22:40,0,66436,19440
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,https://t.co/UkrdQyoYxV,Twitter for iPhone,unidentified,2017-07-27,2017,July,Thursday,16:25:51,16,28105,4368
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,https://t.co/l3TSS3o2M0,Twitter for iPhone,doggo,2017-07-26,2017,July,Wednesday,15:59:51,15,32353,7621
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,https://t.co/jy2alqaYPH,Twitter for iPhone,unidentified,2017-07-26,2017,July,Wednesday,00:31:25,0,31004,7530
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,https://t.co/u1XPQMl29g,Twitter for iPhone,unidentified,2017-07-25,2017,July,Tuesday,16:11:53,16,28117,5086
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,None,https://t.co/BxvuXk0UCm,Twitter for iPhone,puppo,2017-07-25,2017,July,Tuesday,01:55:32,1,38584,8448
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,https://t.co/f8dEDcrKSR,Twitter for iPhone,unidentified,2017-07-25,2017,July,Tuesday,00:10:02,0,27516,4665
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13,10,Stuart,https://t.co/Ya3bdfYuCx,Twitter for iPhone,puppo,2017-07-24,2017,July,Monday,17:02:04,17,15287,2292
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13,10,Oliver,https://t.co/qw5xRwBaIv,Twitter for iPhone,unidentified,2017-07-24,2017,July,Monday,00:19:32,0,25627,5587
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12,10,Jim,https://t.co/chxruIOUJN,Twitter for iPhone,unidentified,2017-07-23,2017,July,Sunday,00:22:39,0,29455,4646
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,13,10,Zeke,https://t.co/L5cCoR2huQ,Twitter for iPhone,unidentified,2017-07-22,2017,July,Saturday,16:56:37,16,25920,4497
