,tweet_id,text,rating_numerator,rating_denominator,name,url,source,stage,Date,Year,Month,Day_of_Week,Time,Hour,favorite_count,retweet_count,image_url,image_number,top_prediction,top_pred_conf,is_dog_top_pred,second_prediction,second_pred_conf,is_dog_sec_pred,third_prediction,third_pred_conf,is_dog_third_pred
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,https://t.co/MgUWQ76dJU,Twitter for iPhone,unidentified,2017-08-01,2017,August,Tuesday,16:23:56,16,39329,8785,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Bagel,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,https://t.co/aQFSeaCu9L,Twitter for iPhone,unidentified,2017-08-01,2017,August,Tuesday,00:17:27,0,33671,6438,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Pekinese,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,https://t.co/r0YlrsGCgy,Twitter for iPhone,unidentified,2017-07-31,2017,July,Monday,00:18:03,0,25362,4270,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Malamute,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,https://t.co/tD36da7qLQ,Twitter for iPhone,unidentified,2017-07-30,2017,July,Sunday,15:58:51,15,42708,8872,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_Retriever,0.17027799999999998,False,Labrador_Retriever,0.168086,True,Spatula,0.0408359,False
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,https://t.co/0g0KMIVXZ3,Twitter for iPhone,unidentified,2017-07-29,2017,July,Saturday,16:00:24,16,40846,9652,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,English_Springer,0.555712,True,English_Springer,0.22577,True,German_Short-Haired_Pointer,0.175219,True
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,None,https://t.co/xx5cilW0Dd,Twitter for iPhone,unidentified,2017-07-29,2017,July,Saturday,00:08:17,0,20479,3215,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Irish_Terrier,0.425595,True,Irish_Terrier,0.116317,True,Indian_Elephant,0.07690219999999999,False
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below
",13,10,Jax,https://t.co/MV01Q820LT,Twitter for iPhone,unidentified,2017-07-28,2017,July,Friday,16:27:12,16,12022,2128,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Border_Collie,0.34170300000000003,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,None,https://t.co/hrcFOGi12V,Twitter for iPhone,unidentified,2017-07-28,2017,July,Friday,00:22:40,0,66436,19440,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Eskimo_Dog,0.566142,True,Eskimo_Dog,0.17840599999999998,True,Pembroke,0.0765069,True
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,https://t.co/UkrdQyoYxV,Twitter for iPhone,unidentified,2017-07-27,2017,July,Thursday,16:25:51,16,28105,4368,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_Setter,0.487574,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,https://t.co/l3TSS3o2M0,Twitter for iPhone,doggo,2017-07-26,2017,July,Wednesday,15:59:51,15,32353,7621,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Cardigan,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,https://t.co/jy2alqaYPH,Twitter for iPhone,unidentified,2017-07-26,2017,July,Wednesday,00:31:25,0,31004,7530,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Pomeranian,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,https://t.co/u1XPQMl29g,Twitter for iPhone,unidentified,2017-07-25,2017,July,Tuesday,16:11:53,16,28117,5086,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,Labrador_Retriever,0.377417,True,Labrador_Retriever,0.151317,True,Muzzle,0.0829811,False
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,None,https://t.co/BxvuXk0UCm,Twitter for iPhone,puppo,2017-07-25,2017,July,Tuesday,01:55:32,1,38584,8448,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Cardigan,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,https://t.co/f8dEDcrKSR,Twitter for iPhone,unidentified,2017-07-25,2017,July,Tuesday,00:10:02,0,27516,4665,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,Boxer,0.99165,True,Boxer,0.00212864,True,Staffordshire_Bullterrier,0.00149818,True
